Term	Count
nature	65
creature	59
romantic	54
creation	54
life	53
natural	50
male	45
power	44
knowledge	35
man	32
ideas	31
desire	31
meaning	28
subjective	27
create	27
understanding	26
romanticism	26
human	23
creator	23
emotions	19
dangers	18
creating	17
creates	17
scientific	15
sublime	14
society	14
man’s	14
joy	14
intertextuality	14
desires	14
supernatural	13
satan	13
monster	13
horror	13
enlightenment	13
romantics	11
paradise	11
hell	11
text	10
terror	10
prideful	10
poetry	10
person	10
death	10
dark	10
companion	10
women	9
meanings	8
gender	8
entity	8
awful	8
tragic	7
mysterious	7
morality	7
linguistics	7
female	7
emotional	7
unknowable	6
prose	6
philosophy	6
mankind	6
essay	6
entire	6
engagement	6
drives	6
drive	6
different	6
determinate	6
destruction	6
delves	6
culture	6
creature’s	6
contrast	6
conflict	6
conclusion	6
complicate	6
comparison	6
character	6
century	6
causes	6
belief	6
basis	6
attempts	6
atmosphere	6
analyzes	6
act	6
abstract	6
1818	6
123	6
writes	5
truths	5
topic	5
today	5
thirst	5
thinking	5
theme	5
symbol	5
supreme	5
study	5
sorrow	5
similarly	5
role	5
revealing	5
result	5
responsible	5
relevant	5
rejection	5
realizes	5
quotations	5
question	5
publication	5
powerful	5
positive	5
portrays	5
portrayal	5
politics	5
particularly	5
oxford	5
opinion	5
omnipotent	5
occur	5
negative	5
moral	5
miltonic	5
men	5
majestic	5
magnificent	5
lessons	5
lasting	5
larger	5
key	5
internal	5
indeterminate	5
identity	5
highlighting	5
haunted	5
general	5
function	5
french	5
forces	5
following	5
figure	5
feature	5
express	5
eternal	5
enduring	5
embraces	5
effect	5
draws	5
draw	5
doi.org	5
discussion	5
depth	5
creations	5
created	5
countering	5
constantly	5
consider	5
complicates	5
completely	5
british	5
book	5
beneficent	5
argument	5
ambiguity	5
allusion	5
abandons	5
513	5
1988	5
wright	4
want	4
version	4
unsettling	4
unnatural	4
universe	4
unease	4
tyrannical	4
truly	4
technology	4
techniques	4
suffering	4
subject	4
soyka	4
satan’s	4
rule	4
revenge	4
response	4
respect	4
reflect	4
reference	4
quotes	4
pursuit	4
provoking	4
provide	4
prominent	4
princeton	4
points	4
needs	4
nature’s	4
narrative	4
multiple	4
montanvert	4
metaphysical	4
march	4
lines	4
limits	4
lacks	4
lack	4
isolation	4
intertexuality	4
intertextual	4
influenced	4
individual’s	4
impossible	4
immutable	4
iii.ii	4
humanity	4
hogsette	4
history	4
help	4
heaven	4
given	4
gentle	4
foreshadowing	4
foreboding	4
family	4
faculty	4
examples	4
evil	4
eve	4
ethical	4
entities	4
english	4
emphasize	4
elizabeth’s	4
edits	4
earthly	4
duties	4
dracula	4
discussing	4
discussed	4
directly	4
direct	4
differences	4
definitions	4
define	4
critiques	4
criticism	4
critic	4
conventions	4
contribute	4
contrasting	4
contradicting	4
continue	4
condition	4
concept	4
commits	4
claims	4
centuries	4
bloom	4
biblical	4
behavior	4
begins	4
authors	4
attempt	4
arbitrarily	4
apple	4
appears	4
alters	4
allow	4
alan	4
adam	4
acts	4
abandonment	4
abandon	4
325	4
208	4
wrongs	3
wrong	3
writer	3
wollstonecraft	3
warnings	3
visible	3
violence	3
victorians	3
useful	3
usage	3
unconscious	3
ultimate	3
truth	3
transcend	3
tongue	3
title	3
think	3
thi	3
testament	3
tension	3
takes	3
sympathetic	3
symbolic	3
	
	
	
	
