Term	Count
masacre	18
monstruos	15
muerte	8
monstruo	8
teratos	7
virus	6
vida	6
produce	6
producción	6
terror	5
humor	5
género	5
estilo	5
discurso	5
algas	5
infección	4
especies	4
ecosistema	4
criaturas	4
tecnología	3
ojos	3
murieron	3
muere	3
monstruosidad	3
especie	3
destrucción	3
víctimas	2
víctima	2
teratología	2
mujeres	2
monstruosa	2
matanza	2
masacres	2
identidad	2
humanos	2
géneros	2
cuerpo	2
artículo	2
articula	2
arte	2
apuesta	2
apenas	2
aparición	2
absurda	2
65	2
3	2
2017	2
2014	2
2013	2
2012	2
2007	2
2	2
12	2
zetas	1
youtube	1
yoes	1
xix	1
www.melponememag.blogspot.com	1
writersprogram	1
works	1
woolf	1
wilfrido	1
wiki	1
walker	1
vuelvan	1
vuelo	1
volviendo	1
volverse	1
vociferan	1
vivos	1
vivo	1
viviremos	1
vivir	1
vivido	1
vitro	1
visitante	1
visiones	1
visibles	1
virtud	1
virolution	1
violento	1
violencia	1
viene	1
vidas	1
viajero	1
viaja	1
vértigo	1
vernáculo	1
verle	1
vergüenza	1
verdes	1
verdadera	1
ventas	1
venimos	1
veneración	1
veinte	1
veganas	1
vector	1
vecchione	1
ve	1
varias	1
variar	1
variado	1
variación	1
variabilidad	1
vanguardia	1
valor	1
valle	1
vacío	1
v	1
úteros	1
únicas	1
únicamente	1
últimas	1
utilizar	1
usuales	1
usar	1
uruguayo	1
urbanos	1
universitarios	1
universitarias	1
universidades	1
uk	1
ubicación	1
trunca	1
trollas	1
troll	1
tremens	1
treinta	1
trasladada	1
transversalidad	1
transparenta	1
transolésbicas	1
tramitar	1
tramas	1
traía	1
traerles	1
traducida	1
traducción	1
tradicionalmente	1
trabajos	1
trabajar	1
trabaja	1
totalmente	1
total	1
torres	1
torno	1
tono	1
tomar	1
toma	1
titulado	1
titulada	1
times	1
tiempos	1
thriller	1
three	1
términos	1
textual	1
texto	1
terrorista	1
territorios	1
territorio	1
terreno	1
terminará	1
terminan	1
tercer	1
teóricos	1
teórico	1
teóricamente	1
teorías	1
tentáculos	1
tensiones	1
temáticos	1
temas	1
tema	1
televisiva	1
telemarketing	1
telehell	1
telegraph	1
teatro	1
taxa	1
tarea	1
tampoco	1
tabúes	1
súmenle	1
suya	1
sustancias	1
surgió	1
surgido	1
surgen	1
supuesto	1
supremacía	1
superiores	1
sumisión	1
sumergiéndose	1
suiza	1
suficiente	1
suerte	1
sueños	1
sueño	1
subvalorado	1
subsanar	1
subrayar	1
subespecie	1
sub	1
study	1
straddling	1
steimberg	1
statedepartment	1
spics	1
species	1
spanishnovelists	1
spanish	1
spanglish	1
south	1
sostenido	1
sostenible	1
sorprendente	1
soporto	1
sonríen	1
sonrisas	1
sonido	1
sometido	1
sola	1
sol	1
sociedad	1
socialmente	1
sobrevivirán	1
sobrevivir	1
sobrenatural	1
soberano	1
símil	1
situarse	1
situada	1
sintetiza	1
sintáctica	1
sintamos	1
simultáneamente	1
simplemente	1
siguiendo	1
siete	1
siento	1
sida	1
sexual	1
seuil	1
serio	1
separadas	1
señales	1
sentimental	1
sentidos	1
sensación	1
seleccionada	1
según	1
segundos	1
segunda	1
seguiremos	1
seguirá	1
seguido	1
sector	1
sectas	1
sección	1
seccionando	1
sarmientino	1
saraiva	1
sao	1
sammakko	1
salvajes	1
salival	1
salen	1
sale	1
sagan	1
sabremos	1
saber	1
saavedra	1
ryan	1
ruido	1
roulette	1
roper	1
rompiendo	1
romper	1
rompe	1
romántico	1
ritual	1
ridículo	1
rico	1
revienta	1
revelación	1
rev	1
reunidos	1
retrovirus	1
retratado	1
responsables	1
responde	1
rescatar	1
rescata	1
reproducir	1
reproduce	1
repertorio	1
relevantes	1
relectura	1
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
