Term	Count
vida	54
ojos	41
muerte	34
cabeza	34
rostro	24
mal	23
voz	22
comunidad	22
cuerpo	21
género	19
troll	18
masacre	18
odio	17
hija	17
niña	16
criatura	16
morir	15
cuarto	15
muletas	14
community	14
poder	13
persona	13
piel	12
mujer	12
dientes	12
mujeres	11
gritó	11
fuego	11
corazón	11
violencia	10
sexual	10
país	10
nuevo	10
muerto	10
mensaje	10
libro	10
levantó	10
juan	10
jóvenes	10
have	10
habitación	10
gusta	10
gritos	10
ganas	10
fuerte	10
fotos	10
eventualmente	10
entiendo	10
encontrar	10
ello	10
desfile	10
fuerza	9
from	9
física	9
fayre	9
estamos	9
dormir	9
dolor	9
daba	9
contexto	9
conciencia	9
circunstancias	9
cécilie	9
celular	9
castellano	9
casos	9
cambio	9
cama	9
calle	9
call	9
café	9
blanco	9
as	9
aire	9
acuerdo	9
18	9
yoga	8
vórtice	8
víctimas	8
víctima	8
visto	8
vista	8
verdadera	8
varias	8
total	8
suerte	8
sistema	8
siquiera	8
simplemente	8
silla	8
serio	8
serie	8
segundos	8
sabés	8
saber	8
roy	8
reconoció	8
real	8
propuesta	8
posible	8
podría	8
podido	8
percy	8
pequeña	8
película	8
pasado	8
ocurrido	8
ocasión	8
obra	8
nuevamente	8
novio	8
necesario	8
nariz	8
movimiento	8
monstruos	8
miedo	8
máscara	8
llevaba	8
internet	8
instituto	8
importante	8
idea	8
historias	8
hace	8
hablando	8
habla	8
excepción	8
estas	8
estadounidenses	8
esperaba	8
espectáculo	8
espalda	8
espacio	8
entrada	8
dirigió	8
diferencia	8
debía	8
dado	8
cursos	8
cultural	8
consideraba	8
conjunto	8
comida	8
colegas	8
clientes	8
cerró	8
celebración	8
can't	8
caminó	8
buscar	8
bolso	8
baños	8
bandeja	8
avión	8
amigos	8
alumna	8
alcohol	8
actividades	8
acercó	8
académico	8
9	8
was	7
volvía	7
voces	7
vivir	7
viviendo	7
última	7
universo	7
two	7
túneles	7
tras	7
tierra	7
términos	7
tales	7
student	7
sol	7
sillón	7
segunda	7
seguía	7
sean	7
sangre	7
recibió	7
reaccionó	7
razón	7
puta	7
presencia	7
preguntaba	7
pocos	7
pasa	7
partir	7
pared	7
parecía	7
papel	7
padre	7
one	7
onda	7
ojo	7
not	7
natural	7
muertes	7
llegaron	7
junto	7
intentaba	7
idioma	7
hombres	7
hola	7
hiciste	7
hice	7
hermana	7
hago	7
frank	7
foto	7
food	7
fondo	7
émilie	7
evitar	7
espíritu	7
especialmente	7
escuchó	7
escuchar	7
energía	7
encanta	7
empezó	7
empezar	7
distancia	7
dieron	7
desprecio	7
dentro	7
demasiado	7
dejaba	7
culo	7
creciente	7
convertirse	7
consumo	7
compañeros	7
comedor	7
colocó	7
clases	7
claro	7
cientos	7
chittick	7
carne	7
care	7
camino	7
búho	7
brazos	7
bon	7
bibliotecaria	7
aquí	7
appetit	7
ambos	7
